,0
cg00251716,0.6386196172029702
cg01368075,0.7320370746596534
cg02772121,0.48060804811262375
cg04105511,0.4601932371287129
cg04337594,0.6646235130569307
cg06132620,0.5251752271813119
cg06372779,0.7253793189356437
cg06823060,0.6594256458384902
cg06911354,0.5499378560024752
cg07592254,0.791594361927599
cg08523456,0.7820930724628714
cg10419849,0.8275037766707921
cg10743291,0.774373812190594
cg11600734,0.5675239584622525
cg14398860,0.907999688598391
cg14418633,0.7442406458694307
cg15002250,0.7458261373607673
cg15958289,0.5001443157487624
cg18368125,0.7243225651608911
cg18631798,0.541624188335396
cg19817912,0.5470467421410891
cg20404260,0.5103722500309407
cg20639396,0.39571750241336634
cg24402880,0.5271506630105198
cg24650915,0.6492528188428217
cg25282976,0.6322677184560644
cg25745246,0.8290577891862623
cg26297005,0.5077899225247524
cg26835683,0.7212221327970297
cg27592331,0.48490589948948015
